,idx,word,pos,n_w,n_d,tf,i_d,idf,tf_idf
18,1,normal,JJ,1,40,0.025,7,4.622167762356662,0.11555419405891657
26,1,new,JJ,1,40,0.025,78,2.211369084722384,0.05528422711805961
32,1,flashy,JJ,1,40,0.025,1,6.568077911411976,0.1642019477852994
38,1,later,RB,1,40,0.025,3,5.469465622743866,0.13673664056859666
41,1,carefully,RB,1,40,0.025,1,6.568077911411976,0.1642019477852994
47,1,professional,JJ,1,40,0.025,1,6.568077911411976,0.1642019477852994
52,1,perfectly,RB,1,40,0.025,3,5.469465622743866,0.13673664056859666
66,3,compact,JJ,1,5,0.2,3,5.469465622743866,1.0938931245487733
71,4,past,JJ,1,23,0.043478260869565216,5,4.958639998977875,0.21559304343382066
72,4,few,JJ,1,23,0.043478260869565216,16,3.7954891891721947,0.16502126909444323
83,4,small,JJ,2,23,0.08695652173913043,33,3.0715703499454956,0.26709307390830395
89,4,small,JJ,2,23,0.08695652173913043,33,3.0715703499454956,0.26709307390830395
92,5,even,RB,1,32,0.03125,22,3.47703545805366,0.10865735806417688
101,5,n't,RB,1,32,0.03125,23,3.432583695482826,0.10726824048383832
103,5,most,RBS,1,32,0.03125,36,2.984558972955866,0.09326746790487081
104,5,exciting,JJ,1,32,0.03125,1,6.568077911411976,0.20525243473162424
109,5,ever,RB,1,32,0.03125,12,4.083171261623976,0.12759910192574925
125,6,new,JJ,1,26,0.038461538461538464,78,2.211369084722384,0.08505265710470708
140,6,top,JJ,1,26,0.038461538461538464,9,4.370853334075757,0.16810974361829834
158,7,virtual,JJ,1,43,0.023255813953488372,1,6.568077911411976,0.1527459979398134
167,7,front,JJ,1,43,0.023255813953488372,12,4.083171261623976,0.09495747120055757
178,7,n't,RB,1,43,0.023255813953488372,23,3.432583695482826,0.07982752780192619
186,7,anxiously,RB,1,43,0.023255813953488372,1,6.568077911411976,0.1527459979398134
198,8,lightweight,JJ,1,18,0.05555555555555555,4,5.181783550292085,0.2878768639051158
200,8,cheap,JJ,1,18,0.05555555555555555,3,5.469465622743866,0.3038592012635481
204,8,proofed,JJ,1,18,0.05555555555555555,1,6.568077911411976,0.3648932173006653
218,10,just,RB,1,7,0.14285714285714285,31,3.1340907069268296,0.44772724384668994
220,10,n't,RB,1,7,0.14285714285714285,23,3.432583695482826,0.4903690993546894
221,10,true,JJ,1,7,0.14285714285714285,9,4.370853334075757,0.6244076191536795
224,11,neat,JJ,1,17,0.058823529411764705,1,6.568077911411976,0.38635752420070446
227,11,large,JJ,1,17,0.058823529411764705,4,5.181783550292085,0.304810797076005
235,11,last,JJ,1,17,0.058823529411764705,15,3.8600277103097658,0.22706045354763327
236,11,truly,RB,1,17,0.058823529411764705,4,5.181783550292085,0.304810797076005
237,11,small,JJ,1,17,0.058823529411764705,33,3.0715703499454956,0.18068060882032327
251,12,new,JJ,1,17,0.058823529411764705,78,2.211369084722384,0.13008053439543435
262,13,typical,JJ,1,11,0.09090909090909091,2,5.87493073085203,0.5340846118956392
276,14,just,RB,1,35,0.02857142857142857,31,3.1340907069268296,0.08954544876933798
279,14,new,JJ,1,35,0.02857142857142857,78,2.211369084722384,0.06318197384921097
