,idx,word,pos
0,0,"""",``
1,0,iPhone,NNP
2,0,SE,NNP
3,0,review,NN
4,0,:,:
5,0,Apple,NNP
6,0,'s,POS
7,0,$,$
8,0,399,CD
9,0,iPhone,NNP
10,0,lives,VBZ
11,0,up,RP
12,0,to,IN
13,0,the,DT
14,0,hype,NN
15,0,.,.
16,1,.In,NFP
17,1,a,DT
18,1,normal,JJ
19,1,year,NN
20,1,",",","
21,1,the,DT
22,1,process,NN
23,1,of,IN
24,1,reviewing,VBG
25,1,a,DT
26,1,new,JJ
27,1,iPhone,NNP
28,1,might,MD
29,1,start,VB
30,1,with,IN
31,1,a,DT
32,1,flashy,JJ
33,1,press,NN
34,1,event,NN
35,1,followed,VBD
36,1,some,DT
37,1,days,NNS
38,1,later,RB
39,1,by,IN
40,1,a,DT
41,1,carefully,RB
42,1,-,HYPH
43,1,staged,VBN
44,1,unboxing,NN
45,1,while,IN
46,1,a,DT
47,1,professional,JJ
48,1,camera,NN
49,1,rolls,NNS
50,1,on,IN
51,1,a,DT
52,1,perfectly,RB
53,1,composed,VBN
54,1,reviewer,NN
55,1,.,.
56,2,"""",``
57,2,iPhone,NNP
58,2,SE,NNP
59,2,(,-LRB-
60,2,2020,CD
61,2,),-RRB-
62,2,review,NN
63,2,.,.
64,3,.Light,NFP
65,3,",",","
66,3,compact,JJ
67,3,design,NN
68,3,.,.
69,4,.For,NFP
70,4,the,DT
71,4,past,JJ
72,4,few,JJ
73,4,years,NNS
74,4,",",","
75,4,phonemakers,NNS
76,4,have,VBP
77,4,said,VBN
78,4,that,IN
79,4,if,IN
80,4,you,PRP
81,4,want,VBP
82,4,a,DT
83,4,small,JJ
84,4,phone,NN
85,4,",",","
86,4,you,PRP
87,4,must,MD
88,4,have,VB
89,4,small,JJ
90,4,demands,NNS
91,4,.,.
92,5,Even,RB
93,5,at,IN
94,5,launch,NN
95,5,",",","
96,5,the,DT
97,5,Apple,NNP
98,5,iPhone,NNP
99,5,SE,NNP
100,5,was,VBD
101,5,n't,RB
102,5,the,DT
103,5,most,RBS
104,5,exciting,JJ
105,5,phone,NN
106,5,that,IN
107,5,the,DT
108,5,company,NN
109,5,ever,RB
110,5,released,VBN
111,5,",",","
112,5,but,CC
113,5,it,PRP
114,5,was,VBD
115,5,a,DT
116,5,model,NN
117,5,that,IN
118,5,people,NNS
119,5,had,VBD
120,5,been,VBN
121,5,clamouring,VBG
122,5,for,IN
123,5,.,.
124,6,The,DT
125,6,new,JJ
126,6,$,$
127,6,399,CD
128,6,iPhone,NNP
129,6,SE,NNP
130,6,looks,VBZ
131,6,like,IN
132,6,an,DT
133,6,iPhone,NNP
134,6,8,CD
135,6,but,CC
136,6,works,VBZ
137,6,like,IN
138,6,Apple,NNP
139,6,'s,POS
140,6,top,JJ
141,6,-,HYPH
142,6,of,IN
143,6,-,HYPH
144,6,the,DT
145,6,line,NN
146,6,iPhone,NNP
147,6,11,CD
148,6,Pro,NN
149,6,.,.
150,7,But,CC
151,7,this,DT
152,7,time,NN
153,7,",",","
154,7,it,PRP
155,7,started,VBD
156,7,with,IN
157,7,a,DT
158,7,virtual,JJ
159,7,presentation,NN
160,7,and,CC
161,7,ended,VBD
162,7,with,IN
163,7,me,PRP
164,7,stepping,VBG
165,7,out,RP
166,7,my,PRP$
167,7,front,JJ
168,7,door,NN
169,7,with,IN
170,7,gloves,NNS
171,7,",",","
172,7,Clorox,NN
173,7,wipes,NNS
174,7,and,CC
175,7,hair,NN
176,7,that,WDT
177,7,had,VBD
178,7,n't,RB
179,7,been,VBN
180,7,brushed,VBN
181,7,since,IN
182,7,who,WP
183,7,knows,VBZ
184,7,when,WRB
185,7,to,TO
186,7,anxiously,RB
187,7,disinfect,VB
188,7,a,DT
189,7,package,NN
190,7,from,IN
191,7,Apple,NNP
192,7,.,.
193,8,The,DT
194,8,2020,CD
195,8,iPhone,NNP
196,8,SE,NNP
197,8,is,VBZ
198,8,lightweight,JJ
199,8,",",","
200,8,cheap,JJ
201,8,and,CC
202,8,future,NN
203,8,-,HYPH
204,8,proofed,JJ
205,8,-,HYPH
206,8,well,NN
207,8,done,VBN
208,8,",",","
209,8,Apple,NNP
210,8,.,.
211,9,Class,NN
212,9,-,HYPH
213,9,leading,VBG
214,9,performance,NN
215,9,.,.
216,10,But,CC
217,10,that,DT
218,10,just,RB
219,10,is,VBZ
220,10,n't,RB
221,10,true,JJ
222,10,.,.
223,11,A,DT
224,11,neat,JJ
225,11,antidote,NN
226,11,to,IN
227,11,large,JJ
228,11,phones,NNS
229,11,",",","
230,11,the,DT
231,11,iPhone,NNP
232,11,SE,NNP
233,11,was,VBD
234,11,the,DT
235,11,last,JJ
236,11,truly,RB
237,11,small,JJ
238,11,iPhone,NNP
239,11,.,.
240,12,There,EX
241,12,are,VBP
242,12,a,DT
243,12,lot,NN
244,12,of,IN
245,12,ways,NNS
246,12,to,TO
247,12,think,VB
248,12,about,IN
249,12,Apple,NNP
250,12,'s,POS
251,12,new,JJ
252,12,$,$
253,12,399,CD
254,12,iPhone,NNP
255,12,SE,NNP
256,12,.,.
257,13,All,PDT
258,13,the,DT
259,13,glamor,NN
260,13,of,IN
261,13,a,DT
262,13,typical,JJ
263,13,iPhone,NNP
264,13,launch,NN
265,13,was,VBD
266,13,gone,VBN
267,13,.,.
268,14,This,DT
269,14,is,VBZ
270,14,the,DT
271,14,phone,NN
272,14,to,TO
273,14,get,VB
274,14,if,IN
275,14,you,PRP
276,14,just,RB
277,14,want,VBP
278,14,a,DT
279,14,new,JJ
280,14,iPhone,NNP
281,14,",",","
282,14,and,CC
283,14,one,NN
284,14,that,WDT
285,14,will,MD
286,14,last,VB
287,14,you,PRP
288,14,a,DT
289,14,few,JJ
290,14,years,NNS
291,14,",",","
292,14,but,CC
293,14,do,VBP
294,14,n’t,RB
295,14,want,VB
296,14,to,TO
297,14,pay,VB
298,14,a,DT
299,14,lot,NN
300,14,for,IN
301,14,it,PRP
302,14,.,.
303,15,Loud,JJ
304,15,",",","
305,15,enjoyable,JJ
306,15,audio,NN
307,15,.,.
308,16,Some,DT
309,16,people,NNS
310,16,have,VBP
311,16,small,JJ
312,16,hands,NNS
313,16,and,CC
314,16,big,JJ
315,16,ideas,NNS
316,16,.,.
317,17,Now,RB
318,17,hard,JJ
319,17,to,TO
320,17,find,VB
321,17,",",","
322,17,bar,NN
323,17,as,IN
324,17,refurbished,VBN
325,17,models,NNS
326,17,",",","
327,17,the,DT
328,17,iPhone,NNP
329,17,SE,NNP
330,17,is,VBZ
331,17,n't,RB
