nouns,count,nouns,model1,model2,k1,k2
iphone,400,iphone,['iphone'],"['iphone', 'se']",[],[]
se,261,se,['se'],"['iphone', 'se']",[],[]
phone,90,phone,['phone'],['phone'],[],[]
apple,88,apple,['apple'],['apple'],[],[]
camera,60,camera,['camera'],['camera'],[],"['rear', 'notable', 'main', 'smarthdr', 'f1.8', 'f/2.4']"
screen,51,screen,['screen'],['screen'],[],"['clickable', 'undeniably']"
phones,46,phones,['phones'],['phones'],[],[]
photos,36,photos,['photos'],"['photos', 'cloud', 'pets', 'briefly']",[],"['live', 'meanwhile', 'animated', 'realistic', 'smarthdr', 'medium', 'smooth', 'closely', 'pleasing', 'outdoor', 'flat', 'functional', 'suddenly', 'awesome', 'podcast', 'unnecessary', 'constantly']"
battery,34,battery,['battery'],"['battery', 'life', 'tests', 'effect']",[],"['slightly', 'least', 'majorly', 'attractive', 'fantastic', 'negative', 'early', 'efficient', 'stellar', 'mixed', 'stereotypical']"
performance,28,performance,['performance'],['performance'],[],"['mixed', 'equivalent']"
price,28,price,['price'],"['price', 'point', 'tag', 'bracket', 'tags', 'points']",[],"['higher', 'massive', 'fantastic', 'third', 'understandable']"
design,27,design,['design'],['design'],[],"['compact', 'archaic']"
video,26,video,['video'],"['video', 'fps', 'frames', '30fps', 'advantage', 'airplane', 'minute', 'chat']",[],"['cramped', 'extended', 'looped', 'mobile', 'continuously', 'frequently', 'dynamic', 'local']"
mode,25,mode,['mode'],"['mode', 'portrait', 'night', 'slofies', 'airplane', 'fusion', 'friends', 'filming', 'panorama', 'options', 'pets', 'captures']",['awesome'],"['single', 'mediocre', 'notable', 'looped', 'smarthdr', 'superb', 'aforementioned', 'deep', 'stunning', 'awesome', 'entirely']"
power,25,power,['power'],"['power', '18w', 'delivery']",[],"['inside', 'computational', 'absolute']"
years,24,years,['years'],"['years', 'weightier', 'wear', 'phonemakers', 'progress']",[],"['few', 'ago']"
people,23,people,['people'],"['people', 'ideas', 'pets', 'camps', 'millions']",[],"['careful', 'cheaper', 'portable']"
life,23,life,['life'],"['battery', 'life']",[],"['majorly', 'real', 'fantastic', 'certainly', 'negative', 'early', 'peppy', 'stellar', 'mixed', 'stereotypical']"
display,23,display,['display'],['display'],[],"['personal', 'lovely']"
quality,23,quality,['quality'],"['quality', 'judge', 'falloff', 'blood', 'pics']",[],"['pretty', 'massive', 'certainly', 'audio', 'call', 'comparable']"
pro,22,pro,['pro'],"['pro', 'max', 'handsets', 's20', 'ultra', 'landscape', 'oneplus', 'macbook', 'line']",['pro'],"['essentially', 'pro', 'extra', 'graphically', 'interested', 'absolute', 'third', 'general', 'ultra', 'behemothic']"
photo,21,photo,['photo'],"['photo', 'wood', 'slice', 'slats', 'sidewalk', 'grain', 'coffee', 'garden', 'pattern', 'pizza', 'library']",[],"['less', 'ugly', 'obvious', 'outdoors', 'accurate', 'darker', 'tighter', 'blue', 'downright', 'partly', 'evident', 'cloudy', 'lush', 'hearty', 'sharper']"
gb,21,gb,[],[],[],[]
android,21,android,['android'],"['android', 'competitors', 'competitor', 'widgets', 'layout', 'fan', 'mainstream']",['android'],"['beefy', 'short', 'frequent', 'rigid', 'flexible', 'myriad', 'viable', 'android', 'dramatic', 'plenty', 'forth', 'pointless']"
device,20,device,['device'],['device'],[],"['once', 'fresh', 'low', 'sleek', 'constrained']"
model,20,model,['model'],"['model', 'steal', 'overkill']",[],"['cheapest', 'older', 'essentially', 'unlocked', 'basic', 'own', 'interested']"
pixel,20,pixel,"['pixel', '3a']","['pixel', '3a', 'google', 'xl', 'density', 'algorithm', 'card']",['wayward'],"['expensive', 'fortunately', 'aggressive', 'wayward', 'lush', 'commonly', 'wild']"
portrait,18,portrait,['portrait'],"['mode', 'portrait', 'friends', 'filming', 'panorama', 'options', 'pets', 'captures']",[],"['excellent', 'single', 'mediocre', 'notable', 'meanwhile', 'smarthdr', 'aforementioned', 'smarter', 'stunning', 'awesome', 'entirely']"
apps,18,apps,['apps'],"['apps', 'future', 'jet', 'files', 'wonderscope', 'tasks', 'icons', 'podcasts']",[],"['future', 'speedy', 'graphically', 'intensive', 'close', 'flexible', 'supersonic', 'constantly']"
light,18,light,['light'],"['light', 'tone', 'vault', 'environment', 'doomsday', 'children', 'mono']","['light', 'sunny']","['lower', 'bright', 'dark', 'light', 'brighter', 'low', 'strange', 'acceptable', 'thin', 'sunny', 'sharpness', 'medium', 'clean', 'indoor', 'special']"
6s,18,6s,['6s'],"['6s', 'mimo']","['6s', '5s']","['6s', 'giant', '5s']"
day,18,day,['day'],"['day', 'end', 'tank', 'browsing']","['practical', 'semi']","['last', 'half', 'anecdotally', 'straight', 'practical', 'comfortably', 'definitely']"
iphones,17,iphones,['iphones'],['iphones'],[],"['later', 'recent', 'difficult', 'accurately', 'adequate', 'lightest', 'together']"
